italy ItLoad=38948,ItSolarGen=1865 1452254400000000000
italy ItLoad=39616,ItSolarGen=933 1452258000000000000
italy ItLoad=40793,ItSolarGen=167 1452261600000000000
italy ItLoad=43569,ItSolarGen=29 1452265200000000000
italy ItLoad=42888,ItSolarGen=29 1452268800000000000
italy ItLoad=41580,ItSolarGen=29 1452272400000000000
italy ItLoad=38860,ItSolarGen=29 1452276000000000000
italy ItLoad=35219,ItSolarGen=29 1452279600000000000
italy ItLoad=31478,ItSolarGen=29 1452283200000000000
italy ItLoad=28480,ItSolarGen=29 1452286800000000000
italy ItLoad=25469,ItSolarGen=1 1452290400000000000
italy ItLoad=23648,ItSolarGen=1 1452294000000000000
italy ItLoad=22678,ItSolarGen=1 1452297600000000000
italy ItLoad=22337,ItSolarGen=1 1452301200000000000
italy ItLoad=22351,ItSolarGen=1 1452304800000000000
italy ItLoad=22910,ItSolarGen=0 1452308400000000000
italy ItLoad=25489,ItSolarGen=0 1452312000000000000
italy ItLoad=28769,ItSolarGen=8 1452315600000000000
italy ItLoad=31223,ItSolarGen=425 1452319200000000000
italy ItLoad=33921,ItSolarGen=1796 1452322800000000000
italy ItLoad=34593,ItSolarGen=2641 1452326400000000000
italy ItLoad=34088,ItSolarGen=3165 1452330000000000000
italy ItLoad=32352,ItSolarGen=3164 1452333600000000000
italy ItLoad=30766,ItSolarGen=2973 1452337200000000000
italy ItLoad=29946,ItSolarGen=2085 1452340800000000000
italy ItLoad=30201,ItSolarGen=948 1452344400000000000
italy ItLoad=31514,ItSolarGen=155 1452348000000000000
italy ItLoad=35095,ItSolarGen=29 1452351600000000000
italy ItLoad=35898,ItSolarGen=29 1452355200000000000
italy ItLoad=36024,ItSolarGen=29 1452358800000000000
italy ItLoad=33690,ItSolarGen=29 1452362400000000000
italy ItLoad=30731,ItSolarGen=29 1452366000000000000
italy ItLoad=28146,ItSolarGen=29 1452369600000000000
italy ItLoad=26200,ItSolarGen=29 1452373200000000000
italy ItLoad=23802,ItSolarGen=1 1452376800000000000
italy ItLoad=22002,ItSolarGen=1 1452380400000000000
italy ItLoad=20712,ItSolarGen=0 1452384000000000000
italy ItLoad=20142,ItSolarGen=1 1452387600000000000
italy ItLoad=20147,ItSolarGen=0 1452391200000000000
italy ItLoad=20548,ItSolarGen=0 1452394800000000000
italy ItLoad=21677,ItSolarGen=0 1452398400000000000
italy ItLoad=22964,ItSolarGen=14 1452402000000000000
italy ItLoad=24320,ItSolarGen=641 1452405600000000000
italy ItLoad=26531,ItSolarGen=2037 1452409200000000000
italy ItLoad=27747,ItSolarGen=3467 1452412800000000000
italy ItLoad=28163,ItSolarGen=4433 1452416400000000000
italy ItLoad=28488,ItSolarGen=4781 1452420000000000000
italy ItLoad=26986,ItSolarGen=4340 1452423600000000000
italy ItLoad=26242,ItSolarGen=2888 1452427200000000000
italy ItLoad=26415,ItSolarGen=1383 1452430800000000000
italy ItLoad=27221,ItSolarGen=211 1452434400000000000
italy ItLoad=30815,ItSolarGen=29 1452438000000000000
italy ItLoad=32097,ItSolarGen=29 1452441600000000000
italy ItLoad=32567,ItSolarGen=29 1452445200000000000
italy ItLoad=31359,ItSolarGen=29 1452448800000000000
italy ItLoad=29789,ItSolarGen=29 1452452400000000000
italy ItLoad=27441,ItSolarGen=29 1452456000000000000
italy ItLoad=25001,ItSolarGen=29 1452459600000000000
italy ItLoad=22214,ItSolarGen=0 1452463200000000000
italy ItLoad=20582,ItSolarGen=0 1452466800000000000
italy ItLoad=19994,ItSolarGen=0 1452470400000000000
italy ItLoad=20105,ItSolarGen=0 1452474000000000000
italy ItLoad=20623,ItSolarGen=0 1452477600000000000
italy ItLoad=22762,ItSolarGen=0 1452481200000000000
italy ItLoad=28988,ItSolarGen=0 1452484800000000000
italy ItLoad=35975,ItSolarGen=30 1452488400000000000
italy ItLoad=40849,ItSolarGen=585 1452492000000000000
italy ItLoad=42332,ItSolarGen=1418 1452495600000000000
italy ItLoad=42688,ItSolarGen=2338 1452499200000000000
italy ItLoad=42160,ItSolarGen=2583 1452502800000000000
italy ItLoad=40026,ItSolarGen=3178 1452506400000000000
italy ItLoad=39828,ItSolarGen=2535 1452510000000000000
italy ItLoad=40681,ItSolarGen=1772 1452513600000000000
italy ItLoad=41177,ItSolarGen=1004 1452517200000000000
italy ItLoad=42480,ItSolarGen=214 1452520800000000000
italy ItLoad=44396,ItSolarGen=29 1452524400000000000
italy ItLoad=43338,ItSolarGen=29 1452528000000000000
italy ItLoad=41750,ItSolarGen=29 1452531600000000000
italy ItLoad=39515,ItSolarGen=29 1452535200000000000
italy ItLoad=36406,ItSolarGen=29 1452538800000000000
italy ItLoad=32385,ItSolarGen=29 1452542400000000000
italy ItLoad=29222,ItSolarGen=29 1452546000000000000
italy ItLoad=26502,ItSolarGen=0 1452549600000000000
italy ItLoad=25016,ItSolarGen=0 1452553200000000000
italy ItLoad=24292,ItSolarGen=0 1452556800000000000
italy ItLoad=23995,ItSolarGen=0 1452560400000000000
italy ItLoad=24232,ItSolarGen=0 1452564000000000000
italy ItLoad=25902,ItSolarGen=0 1452567600000000000
italy ItLoad=31210,ItSolarGen=0 1452571200000000000
italy ItLoad=37498,ItSolarGen=28 1452574800000000000
italy ItLoad=41823,ItSolarGen=1027 1452578400000000000
italy ItLoad=42891,ItSolarGen=3005 1452582000000000000
italy ItLoad=42742,ItSolarGen=5458 1452585600000000000
italy ItLoad=42142,ItSolarGen=6764 1452589200000000000
italy ItLoad=39150,ItSolarGen=6794 1452592800000000000
italy ItLoad=38561,ItSolarGen=6397 1452596400000000000
italy ItLoad=39589,ItSolarGen=4377 1452600000000000000
italy ItLoad=40725,ItSolarGen=2253 1452603600000000000
italy ItLoad=41276,ItSolarGen=369 1452607200000000000
italy ItLoad=44576,ItSolarGen=29 1452610800000000000
italy ItLoad=44068,ItSolarGen=29 1452614400000000000
italy ItLoad=42954,ItSolarGen=29 1452618000000000000
italy ItLoad=40354,ItSolarGen=29 1452621600000000000
italy ItLoad=37342,ItSolarGen=29 1452625200000000000
italy ItLoad=33109,ItSolarGen=29 1452628800000000000
italy ItLoad=30131,ItSolarGen=29 1452632400000000000
italy ItLoad=27049,ItSolarGen=0 1452636000000000000
italy ItLoad=25307,ItSolarGen=0 1452639600000000000
italy ItLoad=24501,ItSolarGen=0 1452643200000000000
italy ItLoad=24288,ItSolarGen=0 1452646800000000000
italy ItLoad=24579,ItSolarGen=0 1452650400000000000
italy ItLoad=26292,ItSolarGen=0 1452654000000000000
italy ItLoad=31697,ItSolarGen=0 1452657600000000000
italy ItLoad=38261,ItSolarGen=38 1452661200000000000
italy ItLoad=42296,ItSolarGen=1170 1452664800000000000
